ID,Page/URL,Issue,Severity,Steps to Reproduce,Expected Result,Actual Result,Screenshot,Status
1,Global Footer,"LinkedIn link leads to a ""Page not available"" page.",Medium,Scroll to the footer and click the LinkedIn icon.,LinkedIn should open the official H-SETS company page.,"A ""Page not available"" error is displayed.",Screenshot1,Open
2,Global Footer,Twitter/X link points to a non-existent profile.,Medium,Click the X icon in the footer.,The official H-SETS X profile should open.,The linked profile does not exist.,Screenshot2,Open
3,Global Footer,YouTube link opens an empty profile/channel.,Medium,Click the YouTube icon in the footer.,The official H-SETS YouTube channel should open with content.,An empty profile/channel is displayed.,Screenshot3,Open
4,Global Footer,"Instagram link opens an unrelated account (""hsets"") instead of the official H-SETS account.",Medium,Click the Instagram icon in the footer.,The official H-SETS Instagram page should open.,An unrelated Instagram account is opened.,Screenshot4,Open
5,Global Footer,Privacy Policy and Terms & Conditions links both redirect to the Contact page.,Medium,Click the Privacy Policy and Terms links in the footer.,Each link should open its respective policy page.,Both links redirect to the Contact page.,,Open
6,AI Solutions,"""Try the Readiness Assessment"" and ""Start Assessment"" buttons redirect to the Resources page instead of the assessment page.",Medium,Navigate to AI Solutions and click either CTA.,The assessment page should open.,The Resources page is opened instead.,,Open
7,AI Solutions,"Clicking ""AI Strategy"" does not navigate to a new page or update the current content.",Medium,"From the navigation menu, click AI Strategy.",The AI Strategy page or section should load.,The AI Solutions page remains unchanged.,,Open
8,Academy,Corporate Training and Graduate Stories links do not navigate anywhere.,Medium,Navigate to the Academy page and click the respective links.,Each item should navigate to its intended page or section.,No navigation occurs.,,Open
9,Resources,"""Templates & Checklists"" and ""Industry Reports"" are not linked to any destination.",Medium,Navigate to Resources and click the respective items.,Each item should open or download the relevant resource.,Clicking the items has no effect.,,Open
10,Resources,"Resource request acknowledgement email is received, but the promised download link is never sent.",Medium,Submit a request for a downloadable resource and wait for the follow-up email.,The requested download link should be delivered.,Only an acknowledgement email is received; no download link follows.,,Open
11,Resource Email,Broken image displayed in the acknowledgement email.,Medium,Open the acknowledgement email after requesting a resource.,Intended mages should load correctly.,A broken image placeholder is displayed.,,Open
12,Resource Email,Social media links in the acknowledgement email are incorrect just as those in the global footer.,Medium,Open the email and click each social media icon.,Each icon should open the official H-SETS social profile.,The links are incorrect.,,Open
13,Resource Email,Sender details display victorolorunda6@gmail.com with Mr. Victor's profile image instead of official H-SETS branding.,Medium,Open the acknowledgement email and inspect the sender details.,The email should use an official H-SETS email address and branding.,A personal Gmail address and personal profile image are displayed.,,Open
14,Contact Page / Footer,Placeholder phone number (+234 800 000 0000) is still displayed.,Medium,Visit the Contact page or footer.,The official H-SETS phone number should be displayed.,A placeholder phone number is shown.,,Open
15,Booking Confirmation,"Booking confirmation states that a calendar invite has been sent, but no calendar invite (.ics or Add to Calendar link) is included in the confirmation email.",Medium,Book a consultation and open the confirmation email.,The email should include a calendar invitation or calendar attachment.,The email contains only a text confirmation.,,Open
